language;id;type;category;front;back;hint;example
farsi;1;word;greeting;سلام;Hallo;salam;سلام دوست من
farsi;2;word;farewell;خداحافظ;Tschüss;khodahafez;خداحافظ دوست من
farsi;3;word;basic;بله;Ja;bale;بله درست است
farsi;4;word;basic;نه;Nein;na;نه متشکرم
farsi;5;word;basic;ممنون;Danke;mamnoon;ممنون از تو
farsi;6;word;basic;لطفا;Bitte;lotfan;لطفا کمک کن
farsi;7;word;food;آب;Wasser;ab;من آب می‌خواهم
farsi;8;word;food;نان;Brot;nan;نان تازه خوب است
farsi;9;word;food;چای;Tee;chay;من چای دوست دارم
farsi;10;word;food;قهوه;Kaffee;ghahve;قهوه گرم است
farsi;11;word;food;برنج;Reis;berenj;برنج خوشمزه است
farsi;12;word;food;گوشت;Fleisch;goosht;گوشت تازه است
farsi;13;word;food;سیب;Apfel;sib;سیب قرمز است
farsi;14;word;food;موز;Banane;moz;موز شیرین است
farsi;15;word;food;شیر;Milch;shir;شیر سرد است
farsi;16;word;food;پنیر;Käse;panir;پنیر خوشمزه است
farsi;17;word;daily;خانه;Haus;khane;خانه من بزرگ است
farsi;18;word;daily;ماشین;Auto;mashin;ماشین جدید است
farsi;19;word;daily;مدرسه;Schule;madrese;مدرسه نزدیک است
farsi;20;word;daily;دانشگاه;Universität;daneshgah;دانشگاه بزرگ است
farsi;21;word;daily;دوست;Freund;doost;دوست من خوب است
farsi;22;word;daily;خانواده;Familie;khanevade;خانواده من اینجاست
farsi;23;word;daily;کار;Arbeit;kar;کار سخت است
farsi;24;word;daily;کتاب;Buch;ketab;کتاب جدید است
farsi;25;word;daily;موبایل;Handy;mobile;موبایل من اینجاست
farsi;26;word;daily;پول;Geld;pool;پول ندارم
farsi;27;word;daily;زمان;Zeit;zaman;زمان سریع می‌گذرد
farsi;28;word;daily;روز;Tag;rooz;امروز روز خوبی است
farsi;29;word;daily;شب;Nacht;shab;شب آرام است
farsi;30;word;daily;صبح;Morgen;sobh;صبح بخیر
farsi;31;word;daily;مرد;Mann;mard;آن مرد بلند است
farsi;32;word;daily;زن;Frau;zan;آن زن مهربان است
farsi;33;word;daily;بچه;Kind;bache;بچه بازی می‌کند
farsi;34;word;daily;شهر;Stadt;shahr;این شهر زیباست
farsi;35;word;daily;خیابان;Straße;khiaban;خیابان شلوغ است
farsi;36;word;daily;مغازه;Geschäft;maghaze;مغازه باز است
farsi;37;word;daily;غذا;Essen;ghaza;غذا آماده است
farsi;38;word;daily;لباس;Kleidung;lebas;لباس جدید دارم
farsi;39;word;daily;کفش;Schuh;kafsh;کفش راحت است
farsi;40;word;daily;میز;Tisch;miz;کتاب روی میز است
farsi;41;word;daily;صندلی;Stuhl;sandali;صندلی راحت است
farsi;42;word;daily;پنجره;Fenster;panjere;پنجره باز است
farsi;43;word;daily;در;Tür;dar;در بسته است
farsi;44;word;daily;اتاق;Zimmer;otagh;اتاق تمیز است
farsi;45;word;daily;ساعت;Uhr;saat;ساعت چند است
farsi;46;verb;basic;رفتن;gehen;raftan;من به خانه می‌روم
farsi;47;verb;basic;آمدن;kommen;amadan;او فردا می‌آید
farsi;48;verb;basic;خوردن;essen;khordan;من نان می‌خورم
farsi;49;verb;basic;نوشیدن;trinken;nooshidan;او آب می‌نوشد
farsi;50;verb;basic;دیدن;sehen;didan;من فیلم می‌بینم
farsi;51;verb;basic;شنیدن;hören;shenidan;من موسیقی می‌شنوم
farsi;52;verb;basic;گفتن;sagen;goftan;او حقیقت را گفت
farsi;53;verb;basic;خواندن;lesen;khandan;من کتاب می‌خوانم
farsi;54;verb;basic;نوشتن;schreiben;neveshtan;او نامه می‌نویسد
farsi;55;verb;basic;داشتن;haben;dashtan;من ماشین دارم
farsi;56;verb;basic;خواستن;wollen;khastan;من غذا می‌خواهم
farsi;57;verb;basic;دوست داشتن;mögen;doost dashtan;من چای دوست دارم
